time,open,high,low,close,tick_volume,spread,real_volume
2025-06-26 15:00:00,144.386,144.487,144.298,144.438,1051,0,0
2025-06-26 15:10:00,144.438,144.439,144.245,144.247,651,0,0
2025-06-26 15:20:00,144.247,144.265,144.166,144.195,632,0,0
2025-06-26 15:30:00,144.169,144.494,144.126,144.297,2441,0,0
2025-06-26 15:40:00,144.297,144.384,144.208,144.297,1645,0,0
2025-06-26 15:50:00,144.297,144.372,144.224,144.307,1603,0,0
2025-06-26 16:00:00,144.306,144.474,144.246,144.443,1846,0,0
2025-06-26 16:10:00,144.443,144.496,144.348,144.389,1591,0,0
2025-06-26 16:20:00,144.389,144.393,144.259,144.267,1369,0,0
2025-06-26 16:30:00,144.264,144.39,144.239,144.325,1559,0,0
2025-06-26 16:40:00,144.324,144.375,144.226,144.236,1598,0,0
2025-06-26 16:50:00,144.237,144.263,144.166,144.234,1109,0,0
2025-06-26 17:00:00,144.234,144.393,144.231,144.363,1532,0,0
2025-06-26 17:10:00,144.363,144.397,144.257,144.324,1600,0,0
2025-06-26 17:20:00,144.323,144.414,144.32,144.368,1505,0,0
2025-06-26 17:30:00,144.368,144.379,144.247,144.327,1760,0,0
2025-06-26 17:40:00,144.326,144.334,144.155,144.18,1404,0,0
2025-06-26 17:50:00,144.184,144.469,144.172,144.408,2225,0,0
2025-06-26 18:00:00,144.404,144.445,144.351,144.411,1658,0,0
2025-06-26 18:10:00,144.411,144.537,144.399,144.435,1387,0,0
2025-06-26 18:20:00,144.436,144.496,144.423,144.494,981,0,0
2025-06-26 18:30:00,144.494,144.494,144.314,144.318,965,0,0
2025-06-26 18:40:00,144.317,144.402,144.316,144.402,659,0,0
2025-06-26 18:50:00,144.402,144.407,144.334,144.339,741,0,0
2025-06-26 19:00:00,144.338,144.371,144.302,144.32,546,0,0
2025-06-26 19:10:00,144.321,144.418,144.289,144.364,711,0,0
2025-06-26 19:20:00,144.364,144.371,144.192,144.195,707,0,0
2025-06-26 19:30:00,144.196,144.2,144.074,144.075,633,0,0
2025-06-26 19:40:00,144.076,144.159,144.056,144.106,654,0,0
2025-06-26 19:50:00,144.106,144.256,144.097,144.249,713,0,0
2025-06-26 20:00:00,144.248,144.275,144.131,144.14,670,0,0
2025-06-26 20:10:00,144.14,144.222,144.131,144.18,733,0,0
2025-06-26 20:20:00,144.182,144.215,144.144,144.181,520,0,0
